feature,mean_nonzero_ratio,constant_stock_ratio,tier
concept_momentum_6m_ma20_lag5,0.0017,0.000362,event
concept_momentum_6m_ma5_lag5,0.0017,0.000362,event
is_concept_leader_lag5,0.0017,0.000362,event
market_state_frenzy_accel_lag5,0.0017,0.000362,event
market_state_frenzy_lag5,0.0017,0.000362,event
market_state_frenzy_ma10_lag5,0.0017,0.000362,event
market_state_frenzy_ma20_lag5,0.0017,0.000362,event
market_state_frenzy_ma5_lag5,0.0017,0.000362,event
market_state_ice_accel_lag5,0.0017,0.000362,event
market_state_ice_lag5,0.0017,0.000362,event
market_state_ice_ma10_lag5,0.0017,0.000362,event
market_state_ice_ma20_lag5,0.0017,0.000362,event
market_state_ice_ma5_lag5,0.0017,0.000362,event
market_state_strong_accel_lag5,0.0017,0.000362,event
market_state_strong_lag5,0.0017,0.000362,event
market_state_strong_ma10_lag5,0.0017,0.000362,event
market_state_strong_ma20_lag5,0.0017,0.000362,event
market_state_strong_ma5_lag5,0.0017,0.000362,event
sector_relative_strength_lag5,0.0017,0.000362,event
cb_0_lag5,0.001727,0.000362,event
is_dt_lag5,0.00173,0.000362,event
avg_concept_heat_lag5,0.001731,0.000362,event
board_count_lag5,0.001731,0.000362,event
board_momentum_max_lag5,0.001731,0.000362,event
board_momentum_mean_lag5,0.001731,0.000362,event
board_overlap_score_lag5,0.001731,0.000362,event
is_zb_lag5,0.001731,0.000362,event
cb_2_accel_lag2,0.001736,0.0,event
cb_2_ma10_lag2,0.001736,0.0,event
cb_2_ma20_lag2,0.001736,0.0,event
consecutive_zt_lag5,0.00177,0.000362,event
is_zt_lag5,0.00177,0.000362,event
seal_strength_lag5,0.00177,0.000362,event
seal_success_lag5,0.00177,0.000362,event
is_yzt_lag5,0.001772,0.000362,event
