window,feature,ic_cross,icir_cross,ic_pos_ratio,coverage,ic_ts,grade
full,eps_lag2,0.023284347874513788,0.13361663855093128,0.5642105263157895,0.2360834990059642,-0.0090836388205662,high
full,market_state_weak_ma5_lag1,0.023236925693516507,0.13444393310920733,0.5084745762711864,0.029324055666003976,-0.00857926768111914,high
full,retail_panic,0.02268430186684072,0.1973026895196443,0.5816993464052288,0.03802186878727634,0.004761466539932106,high
full,cntn_20d,0.022650992653836344,0.1362434966112711,0.5534294234592445,1.0,0.008075801889098538,high
full,roa_lag2,0.022513276278964045,0.15041895236454486,0.5673684210526316,0.2360834990059642,-0.010925942613387958,high
full,market_state_weak_accel_lag1,0.022126419684787124,0.1515324496544926,0.5714285714285714,0.03479125248508946,0.01030528416785249,high
full,cpi_yoy_lag5,0.021983156686861696,0.14680191862834138,0.5745192307692307,0.10337972166998012,-0.008036839389434123,high
full,market_state_weak_ma20_lag3,0.021783388539292844,0.138764568669013,0.5298013245033113,0.03752485089463221,-0.009240400011573415,high
full,market_state_weak_std20_lag2,0.021722658632707365,0.15152131257789883,0.5384615384615384,0.03553677932405567,0.004094636501425499,high
full,roa_lag3,0.02157238776151381,0.14204844507332443,0.561025641025641,0.2422962226640159,-0.008633567645043366,high
full,market_state_volatile_lag3,0.0214581122144367,0.11948151010010676,0.4,0.001242544731610338,-0.0008464042158143365,high
full,market_state_weak_ma20_lag2,0.02134054228956934,0.1352220935061988,0.54,0.037276341948310136,-0.009351317835337332,high
full,market_state_weak_z20,0.021316562913830026,0.13947154307955195,0.5766423357664233,0.03404572564612326,0.0021652553460665695,high
full,board_momentum_max_ma5_lag3,0.021002568146981312,0.2962302589031507,0.6666666666666666,0.0014910536779324055,0.0015392627483583857,high
full,board_momentum_mean_ma5_lag3,0.021002568146981312,0.2962302589031507,0.6666666666666666,0.0014910536779324055,0.0015392627483583857,high
full,market_state_weak_ma5_lag3,0.020898996172362867,0.12190602186067247,0.5042735042735043,0.02907554671968191,-0.008849161357670079,high
full,net_margin,0.020892372976075133,0.1451379255619294,0.5388828039430449,0.2268886679920477,-0.010046923591102153,high
